artifact_or_component,source_or_service,role_in_swatgenx,lifecycle,storage_implication,cpu_ram_implication,reproducibility_note,manuscript_relevance,evidence_source,status
NHDPlus HR hydrography vectors (NHDFlowline; NHDPlusFlowlineVAA; NHDPlusCatchment; NHDWaterbody),USGS The National Map NHDPlus High Resolution product family,Hydrography backbone; preprocessing to SWAT+-compatible stream graph and lake linkage,persistent_reference; cached VPU extracts,very_large,high,Document VPU scope and access date when freezing a study; vector branch must match raster branch where both are used,Methods,documents/NHDPlus_HR_SWATPlus_Methods.md; SWATGenX/NHDPlus_preprocessing.py; publication/tables/tab-data-master.csv (DM-01),partial
WBD HU8 and HU12 polygons,USGS Watershed Boundary Dataset (WBD),HUC attribution; spatial joins to catchments; domain clipping,persistent_reference; cached with HR extracts,large,moderate,Multipart HUC handling per methods narrative; keep WBD edition consistent with NHD HR snapshot,Methods,documents/NHDPlus_HR_SWATPlus_Methods.md; publication/tables/tab-data-master.csv (DM-02),partial
NHDPlus HR packaged elevation (elev_cm) and derived projected DEM rasters,USGS NHDPlus HR raster distribution (same product family as vectors),Reach elevation and drop; terrain stack aligned to stream CRS,cached per VPU,large,moderate,elev_cm discovery and resample paths documented in raster download module; CRS must match streams.pkl for a frozen build,Methods,SWATGenX/NHDPlus_raster_downloads.py; publication/tables/tab-data-master.csv (DM-03 DM-04),partial
USGS 3DEP DEM via Google Earth Engine export,USGS 3DEP (10 m) on Google Earth Engine catalog,On-demand terrain GeoTIFF for selected web workflows (e.g. floodplain terrain tier); separate from bundled NHD elev_cm path,generated_on_demand,variable,moderate,Requires operator-configured Earth Engine access; exporter retries coarser resolution on quota/size limits (implementation detail only),Methods,web_application/app/floodplain.py,verified
PRISM gridded precipitation and temperature,Oregon State University PRISM Climate Group,SWAT+ climate station files (PCP/TMP) and CLI wiring from mesh-guided subset,cached (CONUS or regional archives); small-to-moderate per-model extract,very_large,variable,Year span and directory layout come from SWATGenXPaths and environment; large archive reads can depend on where files are stored and mounted—document for frozen reruns not as a timing guarantee,Methods; Data Availability,SWATGenX/PRISM_extraction.py; SWATGenX/core.py; publication/tables/tab-data-master.csv (DM-05),partial
NSRDB gridded solar and related meteorology,NREL National Solar Radiation Database,SWAT+ weather component where pipeline enables NSRDB extraction,cached (annual or multi-year H5 style archives on operator storage); subset per domain,very_large,variable,Grid index and archive layout are installation-specific; audit before claiming a single public path in prose,Methods; Data Availability,SWATGenX/NSRDB_SWATplus_extraction.py; publication/tables/tab-data-master.csv (DM-06),partial
NLCD land cover rasters via Google Earth Engine,Multi-Resolution Land Characteristics (MRLC) NLCD releases exposed through Earth Engine,HRU land-use raster aligned to soil reference grid; optional warp from coarser NLCD if fine export fails,generated_on_demand,moderate,moderate,Epoch year and resolution must match configuration; authentication outside the public repo,Methods,SWATGenX/NLCD_google_download.py; SWATGenX/generate_geospatial_vpuid.py; publication/tables/tab-data-master.csv (DM-07),partial
gSSURGO map unit raster and CONUS soil context,USDA NRCS gSSURGO / SSURGO family,Soil class raster and linkage into SWAT+ HRU soil logic,persistent_reference; cached CONUS-scale reference,very_large,moderate,Operator maintains MapunitRaster and GDB paths referenced in SWATGenXPaths; not redistributed inside git,Methods,SWATGenX/gssurgo_extraction.py; SWATGenX/SWATGenXConfigPars.py; publication/tables/tab-data-master.csv (DM-08),partial
SWAT+ soil SQLite and exported SSURGO CSV tables,SWAT+ soil database plus SWATGenX export helpers,Populate SSURGO-derived tables used when building HRU soils,cached,moderate,low,CSV exports regenerated from SQLite when missing from expected paths,Methods,SWATGenX/SWAT_gssurgo.py; SWATGenX/generate_swatplus_rasters.py,partial
Preprocessed hydrography caches (e.g. streams.pkl; VPU-level pickles),Derived from NHDPlus HR preprocessing,Reuse of derived topology for repeated builds; consistent routing object for downstream steps,cached per VPU,moderate,moderate,Tied to preprocessing code version; invalidate when HR rules change materially,Methods,SWATGenX/configuration.py; SWATGenX/NHDPlus_extract_by_VPUID.py (pickle outputs per pipeline),partial
