item_id,artifact,where_obtained,evaluation_protocol_gate,freeze_dependency,uncertainty_note,status
RP-01,Git commit SHA for code that produced manuscript numbers,git rev-parse HEAD at archival tag (feature branch baseline 31be925; replace with submission tag),Phase 1 lock + submission archive,All Tab-ModelComplexity and figure regeneration,Feature-branch SHAs are not submission-official; update at merge tag,required_before_submission
RP-02,Interpreter and geospatial dependency pins (conda lockfile or container digest),Export from frozen CI or operator env; path under repo TBD at submission,Same as RP-01,Raster and vector reproducibility,README lists stacks without pins today,required_before_submission
RP-03,Locked evaluation basin identifiers (three model_id rows),publication/analysis/evaluation-protocol.md §Locked basin tiers,Phase 1 lock 2026-05-13,"Maps, Tab-ModelComplexity, any basin-scoped scripts",None for published IDs,documented
RP-04,NHDPlus HR staged download listing provenance (USGS National Map URL pattern + access date),documents/SWATGenX/README_NHDPlus_HR_SWATPlus.md §4.1; USGS Moore2019NHDPlusHR,Methods + Tab-DataMaster,HU4 GDB acquisition,USGS bucket layout may evolve,needs_audit
RP-05,DEM alignment rule (30 m bilinear; CRS from streams pickle),documents/SWATGenX/README_NHDPlus_HR_SWATPlus.md §7; documents/NHDPlus_HR_SWATPlus_Methods.md,Methods hydrography + inputs,Terrain vs channel geometry consistency,Skip behavior if pickle missing—record whether skip occurred,documented
RP-06,Preprocessor module map (download → extract → preprocess → raster → extractor),documents/SWATGenX/README_NHDPlus_HR_SWATPlus.md §5–6; publication/source-bank/extracted-nhdplus-hr.md,Methods overview,Script entrypoints for audit,Module names drift—cross-walk to SWATGenX package on frozen SHA,documented
RP-07,Public Zenodo (or equivalent) archive for review bundle,Submission checklist; not yet created,Publisher data availability,Reader-obtainable snapshot,Placeholder until journal chosen,required_before_submission
RP-08,LaTeX fragment for Tab-ModelComplexity,publication/analysis/scripts/emit_tab_model_complexity_tex.py reading publication/tables/tab-model-complexity.csv,Results build,pdflatex inputs,Regenerate after any CSV edit,documented
RP-09,Fig-ExampleBasinMaps combined panel,publication/analysis/scripts/render_example_basin_maps.py --final --layout combined,Results figure,Showcase workspace shapefiles + CSV counts,Requires USER_PATH and showcase layout; paths stay off manuscript page,documented
RP-10,Tab-Runtime pilot / instrumented reruns,publication/tables/tab-runtime.csv; publication/analysis/evaluation-protocol.md runtime row,Results timing claims (Table ref tab:runtime),Measured wall fields,Pilot 2026-05-14 rows status=measured_scripted_rerun; emit_tab_runtime_tex.py; peak_ram_gb not profiled,documented
RP-11,Redacted path policy for examples (no private absolute paths in PDF),publication/tables/tab-package-manifest.csv uses angle-bracket patterns,Camera-ready,Peer review hygiene,Operator-specific roots must never be pasted into LaTeX,documented
RP-12,Dataset access dates and NLCD/NSRDB archive build identifiers,Populate from frozen host logs into publication/tables/tab-data-master.csv,Tab-DataMaster audit,NSRDB spacing conflict resolution,"Until audited, manuscript avoids numeric spacing claims for NSRDB",required_before_submission
RP-13,Google Earth Engine authentication record for NLCD exports (if used),Operator secret store; not committed,NLCD row in Tab-DataMaster,Reproducibility of NLCD raster used,Credentials never in git,required_before_submission
RP-14,Bibliography keys frozen set,publication/bib/references.bib,Citation consistency,All in-text dataset cites,Add SWAT+ Editor manual key only if text cites Editor UI,needs_audit
RP-15,Tab-ToolContrast qualitative positioning,publication/tables/tab-tool-contrast.csv; publication/analysis/scripts/emit_tab_tool_contrast_tex.py,Discussion Table ref tab:tool-contrast,Intro/Discussion novelty wording,No performance columns; regenerate after CSV edit,documented
