rule_id,rule_name,purpose,input_fields_or_layers,processing_action,output_or_check,locked_basin_metric_available,status,notes
NH-00,VPU / HU4 hydrography unit selection,Scope national downloads and CRS context to a USGS HUC4-aligned processing unit,USGS staged hydrography listing; vector processing unit,Parse HU4 listing; download and unpack geodatabase and rasters for the selected processing unit,Working VPU geodatabase and pickle intermediates,no,documented,Listing URL pattern and access date belong in submission reproducibility checklist.
NH-01,Required NHDPlus HR core layers,"Ensure SWAT+ scaffold has flowlines, catchments, VAA, waterbodies needed for routing",NHDFlowline; NHDPlusCatchment; NHDPlusFlowlineVAA; NHDWaterbody,Extract required layers to projected working tables following the documented preprocessing sequence,Pickle-backed frames used by preprocessing,no,documented,Layer names must match USGS product for the downloaded GDB vintage.
NH-02,WBD HU8/HU12 attribution,Attach HUC labels for clipping and reporting,WBDHU8; WBDHU12; catchment centroids,Spatial join centroids; carry tohuc; multipart dedupe largest area,HUC columns on reach/catchment attributes,no,documented,See documents/NHDPlus_HR_SWATPlus_Methods.md §S1.2.
NH-03,CRS / UTM projection,Metric lengths and areas for SWAT+,WBDHU4 centroid; geographic coordinates,Select UTM zone from HU4 centroid; project features,Projected geometries for extractor,no,documented,Polar/insular exceptions documented in methods doc.
NH-04,Divergence code 2 removal,Prevent cyclic hydrosequence graphs under single-valued downstream routing,NHDPlusFlowlineVAA.DivDivergence; NHDFlowline; NHDPlusCatchment,Remove reaches with DivDivergence=2; merge each removed reach catchment into immediate downstream catchment polygon,Tree-like routed NHDFlowline subset; conserved catchment area at polygon level,no,documented,Braided conveyance simplified.
NH-05,Stream–catchment pairing integrity,Every retained reach has a drainage polygon,NHDPlusID on flowline and catchment,Drop flowlines without matching NHDPlusCatchment,1:1 NHDPlusID pairing for retained set,no,documented,QA checklist item in methods.
NH-06,Coastal / artificial flowline stripping,Remove non-inland boundary-condition line work,"Reach identifiers per product coastal/boundary rules",Filter using implemented coastal and boundary identifier rules,Coastal lines absent from routed upland set,no,needs_audit,Wording in manuscript must match frozen code identifiers.
NH-07,Isolated reach policy,Remove reaches with no valid in-network neighbor after HydroSeq harmonization,HydroSeq; DnHydroSeq; cleaned adjacency,Remove from working routed set; optional export to QA folder,Optional isolated_streams diagnostics; not modeled as standalone subbasins,no,documented,See Discussion limitations.
NH-08,Reach length and channel drop,SWAT+ channel geometry inputs,PathlengthKM; MaxElevSmo; MinElevSmo,Convert km→m; compute drop from smoothed elevations (cm→m scaling),ChannelLenM; drop fields retained through merges,no,documented,Extrema recomputed when reaches merge.
NH-09,Headwater and terminal flags,Consistent outlet semantics,Edited adjacency,Recompute StartFlag and TerminalFl from cleaned links,Flags consistent with edited network,no,documented,
NH-10,Terminal-reach upstream walk (Subbasin_level_1),Initial subbasin scaffolding,HydroSeq/DnHydroSeq,Walk upstream from each terminal reach,Subbasin_level_1 index grouped with HUC12 later,no,documented,
NH-11,One-outlet partition,Enforce SWAT+ subbasin outlet rule,HUC12; Subbasin_level_1; outlet enumeration,Split multi-outlet groups by upstream trace; iterate until ≤1 outlet per subbasin within clip,Final subbasin index used for dissolves,no,documented,Counts vary by basin—use Tab-ModelComplexity not this table.
NH-12,Lake / waterbody integration,Lake module connectivity,NHDWaterbody; FType; WBArea_Permanent_Identifier,Area threshold 0.1 km2; map FType to SWAT+ classes; harmonize adjacent lakes; renumber lake/channel IDs from 1,SWAT_plus_lakes.shp and lake role fields,no,documented,Single-primary-outlet simplification noted in Discussion.
NH-13,Minimum subbasin area merge,Reduce fragment subbasins toward typical HUC12 scale,Subbasin polygons; A_min=62.5 km2 (~75% mean Michigan HUC12),Single-pass merge of subbasins < A_min into immediate downstream subbasin when in-domain downstream exists; terminal subbasins between A_min/5 and A_min retained; isolated units < A_min/5 flagged/connected,Merged subbasin set; QA flags,no,documented,Not iterative to A_min; separate ~0.01 km2 QSWAT guard follows in same pass.
NH-14,Programmatic QA checklist,Export integrity before handoff to QSWAT+,Streams; catchments; lakes; routing graph,Check 1:1 stream–catchment; one subbasin per reach; acyclic main routing; unique IDs from 1; lake outlets resolved or logged,Pass/fail logs and sidecar stats JSON where enabled,no,needs_metric,Pass/fail rates are needs_metric until logs are summarized.
