artifact_id,artifact_class,path_pattern,purpose,always_optional,integrity_check_tbd,counts_or_size_note,linked_fig_tab,status,notes
PKG-01,vector_shapefile,<VPUID>/<LEVEL>/<NAME>/Watershed/Shapes/SWAT_plus_streams.shp (+ .shx/.dbf/.prj/.cpg),Channel geometry for QSWAT+ / SWAT+ GIS import,always,required_before_submission,Per-build feature counts in Tab-ModelComplexity for locked basins,Fig-ExampleBasinMaps,documented,Relative to model root under operator USER_PATH; no private hostnames in this table.
PKG-02,vector_shapefile,<VPUID>/<LEVEL>/<NAME>/Watershed/Shapes/SWAT_plus_watersheds.shp (+ sidecars),Reach watershed polygons,always,required_before_submission,Polygon counts align with extractor outputs,Fig-ExampleBasinMaps,documented,
PKG-03,vector_shapefile,<VPUID>/<LEVEL>/<NAME>/Watershed/Shapes/SWAT_plus_subbasins.shp (+ sidecars),Dissolved subbasin polygons after one-outlet partition,always,required_before_submission,Subbasin counts in Tab-ModelComplexity,Fig-ExampleBasinMaps,documented,
PKG-04,vector_shapefile,<VPUID>/<LEVEL>/<NAME>/Watershed/Shapes/SWAT_plus_lakes.shp (+ sidecars),Lake polygons when present,conditional,required_before_submission,Lake counts may be blank in inventory when not recorded,Fig-ExampleBasinMaps,documented,
PKG-05,qa_vector,<VPUID>/<LEVEL>/<NAME>/Watershed/Shapes/Divergence2Streams.shp (name per internal README; verify on export),QA export of divergence-code-2 reaches removed from routed set,optional,deferred_by_protocol,Feature counts audit_required_before_submission,Fig-QAExample,documented,Presence depends on build options and naming; confirm on a locked workspace export.
PKG-06,qa_folder,<VPUID>/<LEVEL>/<NAME>/Watershed/Shapes/isolated_streams/ (folder; naming per internal README),QA export of isolated reaches not promoted as routed subbasins,optional,deferred_by_protocol,Counts audit_required_before_submission,Fig-QAExample,documented,
PKG-07,weather_text,<VPUID>/<LEVEL>/<NAME>/PRISM/*.pcp and *.tmp,PRISM-derived precipitation and temperature station files,always,required_before_submission,File counts depend on intersecting PRISM cells,,documented,SWATGenX writes CLI lists tmp.cli and pcp.cli in the same directory.
PKG-08,weather_text,<VPUID>/<LEVEL>/<NAME>/PRISM/*.slr *.hmd *.wnd (when NSRDB extract enabled),NSRDB-derived solar humidity wind station files,conditional,required_before_submission,Counts depend on archive coverage,,documented,Emitted alongside PRISM directory in the documented extractor.
PKG-09,weather_cli,<VPUID>/<LEVEL>/<NAME>/PRISM/*.cli,SWAT+ climate file lists,always,required_before_submission,Small text files,,documented,
PKG-10,json_sidecar,<VPUID>/<LEVEL>/<NAME>/channel_processing_stats.json,Channel/subbasin processing statistics for QA,always,deferred_by_protocol,Per-build JSON,Tab-QASummary,documented,Written by generate_swatplus_shapes pipeline.
PKG-11,optional_vector,<VPUID>/<LEVEL>/<NAME>/creating_modified_inputs/ (when enabled),Optional merged small-subbasin round-trip outputs,conditional,deferred_by_protocol,Threshold tied to documented minimum-area rule,Tab-NHDRules,documented,May be absent when optional pass disabled.
PKG-12,swatplus_sqlite_project,<VPUID>/<LEVEL>/<NAME>/SWAT_MODEL_Web_Application/ (folder name may vary with app resolver),SWAT+ Editor / SQLite project tables after import pipeline,always,required_before_submission,Schema per SWAT+ Editor version in use,,documented,Exact subfolder naming should be confirmed on a locked build; do not hard-code private absolute paths.
PKG-13,project_archive,Download packaging (application-generated ZIP when enabled),Exported SWAT+ project archive bundle,conditional,deferred_by_protocol,Size audit_required_before_submission,,documented,ZIP packaging is out of scope for some pilot timing hooks; record policy per deployment.
PKG-14,publication_asset,publication/figures/final/fig-example-basin-maps-combined-3panel.png,Manuscript figure from locked basin vectors,conditional,required_before_submission,Raster dpi set by render_example_basin_maps.py,Fig-ExampleBasinMaps,documented,Regenerate with publication/analysis/scripts/render_example_basin_maps.py --final --layout combined.
